2018-11-10 14:54:07-05:00,papazark,lamonthe,AG36
2018-11-10 15:29:07-05:00,theprophete,lamonthe,Rocket
2018-11-10 15:40:07-05:00,theprophete,lamonthe,Rocket
2018-11-10 15:51:07-05:00,theprophete,lamonthe,Rocket
2018-11-10 16:09:07-05:00,theprophete,lamonthe,Rocket
2018-11-10 16:32:07-05:00,theprophete,papazark,Rocket
2018-11-10 17:11:07-05:00,theprophete,papazark,Rocket
2018-11-10 17:50:07-05:00,papazark,lamonthe,AG36
2018-11-10 17:58:07-05:00,papazark,lamonthe,AG36
2018-11-10 18:29:07-05:00,theprophete,papazark,SniperRifle
2018-11-10 18:56:07-05:00,theprophete,lamonthe,SniperRifle
2018-11-10 19:26:07-05:00,theprophete,lamonthe,SniperRifle
2018-11-10 19:30:07-05:00,papazark,theprophete,M4
2018-11-10 19:56:07-05:00,theprophete,papazark,OICW
2018-11-10 20:09:07-05:00,lamonthe,theprophete,VehicleRocket
2018-11-10 20:36:07-05:00,papazark,theprophete,AG36Grenade
2018-11-10 20:36:07-05:00,theprophete,papazark,Rocket
2018-11-10 20:42:07-05:00,lamonthe,papazark,VehicleRocket
2018-11-10 21:00:07-05:00,theprophete,cyap,SniperRifle
2018-11-10 21:08:07-05:00,cyap,lamonthe,AG36
2018-11-10 21:19:07-05:00,cyap,papazark,AG36
2018-11-10 21:40:07-05:00,cyap,papazark,AG36Grenade
2018-11-10 21:59:07-05:00,papazark,cyap,Falcon
2018-11-10 22:09:07-05:00,cyap,lamonthe,M4
2018-11-10 22:36:07-05:00,lamonthe,papazark,SniperRifle
2018-11-10 22:38:07-05:00,theprophete,lamonthe,SniperRifle
2018-11-10 22:55:07-05:00,theprophete,lamonthe,SniperRifle
2018-11-10 23:28:07-05:00,lamonthe,papazark,AG36
2018-11-10 23:33:07-05:00,theprophete,lamonthe,SniperRifle
2018-11-10 23:53:07-05:00,cyap,theprophete,VehicleRocket
2018-11-11 00:09:07-05:00,lamonthe,theprophete,OICW
2018-11-11 00:27:07-05:00,theprophete,lamonthe,Rocket
2018-11-11 00:56:07-05:00,cyap,theprophete,VehicleMountedRocketMG
2018-11-11 01:13:07-05:00,cyap,papazark,VehicleRocket
2018-11-11 01:35:07-05:00,papazark,theprophete,P90
2018-11-11 02:00:07-05:00,papazark,theprophete,P90
2018-11-11 02:07:07-05:00,papazark,theprophete,P90
2018-11-11 02:25:07-05:00,lamonthe
2018-11-11 02:54:07-05:00,lamonthe,theprophete,SniperRifle
2018-11-11 03:02:07-05:00,cyap,theprophete,AG36Grenade
2018-11-11 03:21:07-05:00,theprophete,cyap,M4
2018-11-11 03:52:07-05:00,papazark,lamonthe,P90
2018-11-11 03:59:07-05:00,theprophete,cyap,AG36
2018-11-11 04:31:07-05:00,papazark,lamonthe,P90
2018-11-11 04:42:07-05:00,cyap,lamonthe,M4
2018-11-11 05:03:07-05:00,cyap,theprophete,M4
2018-11-11 05:11:07-05:00,cyap,theprophete,M4
2018-11-11 06:19:07-05:00,theprophete,cyap,VehicleRocket
